MSOA code,MSOA name,Distance,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021
E02001930,Birmingham 104,5.364,172500,168000,168000,168000,293000,290000,285000,287000
E02001931,Birmingham 105,5.826,188000,186000,210000,206750,254575,260000,277000,276000
E02001932,Birmingham 106,9.329,128995,124773,112000,120750,152500,160000,170000,170000
E02001933,Birmingham 107,6.071,122750,123500,121000,122500,216750,215750,228000,230000
E02001934,Birmingham 108,6.818,175500,175000,188000,192000,272000,275000,280000,284500
E02001935,Birmingham 109,8.379,150000,155000,155000,158000,230000,234000,239000,243000
E02001936,Birmingham 110,6.36,201000,210000,210000,202000,361500,361500,367250,335000
E02001937,Birmingham 111,6.417,113000,112000,112000,105625,170000,173250,173250,175000
E02001938,Birmingham 112,7.017,142500,139000,131000,134975,265334,257000,254000,250000
E02001939,Birmingham 113,7.912,236500,225000,243000,230000,267500,278475,307000,317500
E02001941,Birmingham 115,7.484,112250,118000,115500,110500,175000,180000,184000,192500
E02001942,Birmingham 116,8.229,138500,136975,141000,147500,225000,245000,245000,237000
E02001943,Birmingham 117,7.268,142000,133000,129000,119975,211500,214000,214000,215750
E02001944,Birmingham 118,7.565,135000,132750,135500,131000,207000,212000,215000,215000
E02001945,Birmingham 119,10.3,92568,90500,91000,92750,148000,145000,152000,155000
E02001946,Birmingham 120,9.373,134000,140000,140250,143500,220000,228000,235000,233500
E02001947,Birmingham 121,8.238,92500,91000,92000,93000,155000,157500,162000,163450
E02001948,Birmingham 122,8.318,124875,120000,122500,125000,200000,205000,212000,215000
E02001949,Birmingham 123,8.465,120000,120000,117750,120000,183750,192500,217500,220500
E02001950,Birmingham 124,10.8,125000,124950,119000,119250,193000,195000,209000,207500
E02001951,Birmingham 125,12.41,96500,97000,95000,98000,170000,170500,172000,174250
E02001952,Birmingham 126,10.24,89250,94000,95000,95500,139500,141000,150000,150000
E02001953,Birmingham 127,9.39,148000,149950,139000,137000,226000,240000,236238,233500
E02001954,Birmingham 128,10.09,89500,87500,87750,88000,148000,155000,162500,170500
E02001955,Birmingham 129,12.28,110000,110000,109500,115000,185000,190000,195000,201250
E02001956,Birmingham 130,12.72,124500,124750,125000,120000,202500,199950,195000,180000
E02001957,Birmingham 131,11.39,114000,105000,112250,112500,175000,176200,180000,185000
E02006807,Birmingham 132,7.605,165975,157750,160000,152750,255500,263750,265000,266500
E02006809,Birmingham 133,6.077,166000,165500,165000,159750,250000,260000,260600,275000
E02006895,Birmingham 134,1.791,135000,147000,145500,145000,208000,243000,247500,240000
E02006896,Birmingham 135,1.115,110500,113000,122500,116000,232500,231062,223577,208950
E02006897,Birmingham 136,2.494,98000,93000,92000,91000,223600,249752,252450,252450
E02006898,Birmingham 137,2.128,130000,129475,131000,129950,225225,213600,200000,201500
E02006899,Birmingham 138,1.181,140000,147750,138250,135000,197000,210000,210000,212000
E02006900,Birmingham 139,1.845,115000,115000,104000,100000,145000,150000,150000,150000
E02006901,Birmingham 140,3.806,110000,106000,105000,105000,145000,145500,149500,150000
